DAS,X1,X2,Y1,Y2,pembagi
kab_245,1117,1130,330,351,4
kab_246,298,306,341,354,4
kab_247,777,790,661,671,4
kab_248,567,578,615,626,4
kab_249,202,206,226,229,4
kab_250,708,724,263,278,4
kab_251,291,299,351,356,4
kab_252,1823,1835,353,363,4
kab_253,152,171,164,190,4
kab_254,608,613,659,664,4
kab_255,326,338,415,428,4
kab_256,894,907,674,683,4
kab_257,802,808,690,695,4
kab_258,592,602,619,628,4
kab_259,596,604,625,633,4
kab_260,252,257,163,169,4
kab_261,481,493,264,274,4
kab_262,1140,1148,142,153,4
kab_263,672,680,677,688,4
kab_264,220,225,145,151,4
kab_265,718,723,656,660,4
kab_266,1570,1637,246,293,4
kab_267,1632,1657,275,316,4
kab_268,1501,1510,244,253,4
kab_269,1860,1906,570,603,4
kab_270,781,785,702,707,4
kab_271,1040,1138,429,562,4
kab_272,825,872,388,491,4
kab_273,867,928,374,480,4
kab_274,315,362,313,364,4
kab_275,717,764,303,366,4
kab_276,802,814,645,664,4
kab_277,764,779,696,714,4
kab_278,683,705,653,675,4
kab_279,1427,1476,777,834,4
kab_280,1025,1091,298,373,4
kab_281,1026,1146,237,372,4
kab_282,1062,1214,221,314,4
kab_283,246,283,177,225,4
kab_284,248,287,202,243,4
kab_285,233,269,171,215,4
kab_286,410,454,489,528,4
kab_287,807,857,376,431,4
kab_288,868,893,657,684,4
kab_289,455,495,557,583,4
kab_290,520,557,573,623,4
kab_291,491,561,538,578,4
kab_292,528,579,545,596,4
kab_293,489,521,539,569,4
kab_294,722,778,262,317,4
kab_295,154,198,99,154,4
kab_296,2161,2202,502,527,4
kab_297,557,591,629,665,4
kab_298,360,390,450,484,4
kab_299,1424,1461,703,744,4
kab_300,277,308,293,334,4
kab_301,465,553,288,379,4
kab_302,1055,1082,735,761,4
kab_303,1069,1087,734,763,4
kab_304,1083,1103,726,762,4
kab_305,1065,1090,725,739,4
kab_306,909,934,709,733,4
kab_307,1258,1286,447,498,4
kab_308,1287,1354,415,466,4
kab_309,1248,1298,411,461,4
kab_310,836,857,685,706,4
kab_311,766,787,680,700,4
kab_312,823,841,689,705,4
kab_313,956,1053,238,329,4
kab_314,666,685,641,669,4
kab_315,1203,1219,460,494,4
kab_316,1496,1519,779,805,4
kab_317,878,912,702,738,4
kab_318,992,1105,108,259,4
kab_319,1550,1770,667,732,4
kab_320,1659,1781,450,665,4
